aane	eː n
aer	eː ə
aile	ai l
ardnieu	ə r d̪ nʲ e u
awin	au nʲ
awin	a w ə nʲ
ayr	æː a r
beeal	b iə l
beishteig	b e ʃ tʲ eː ɡ
beishteig	p r ə ʃ tʲ eː ɡ
ben	b e ᵈn
billey	b i lʲ ə
blaa	b l æː
blein	b lʲ eː nʲ
blein	b lʲ i ᵈn
bodjal	b aː dʒ ə l
bolg	b o l ɡ
cass	k aː s
çhengey	tʃ i nʲ ə
clagh	k l aː x
cleaysh	k l eː ʃ
collaneyn	k a l i nʲ ə n
crackan	k r aː ɣ ə n
craue	k r æː w
cree	k r iː
dooinney	d̪ u nʲ ə
dreeym	d̪ r iː m
dreeym	d̪ r i ᵇm
duillag	d̪ o lʲ a ɡ
eairk	eː a k
eayst	eː s
eeast	j iː s
ennym	e n ə m
faarkey	f øː ɹ k ə
faiyr	f eː ə
famman	f a m a n
fedjag	f ai a ɡ
feeackle	f iː ɣ ə l
feill	f eː lʲ
fer	f e r
fliaghey	f lʲ aː ɣ ə
folt	f o l t̪
fraue	f r æː w
fuill	f o lʲ
geay	ɡ iː
geinnagh	ɡʲ a nʲ a x
glioon	ɡ lʲ uː nʲ
grian	ɡ r iː n
grian	ɡ r i ᵈn
jaagh	dʒ æː a x
joan	dʒ au n
kay	kʲ æː
keayn	k i ᵈn
keeagh	k iː x
keyll	k iː lʲ
keyll	k e lʲ
kione	kʲ au n
kione	kʲ oː n
laa	l æː
laue	l æː w
leoie	l øi
logh	l ɒː x
lurgey	l ø ɹ ɡ ə
maidjey	m aː ʒ ə
meeyl	m iː l
mess	m eː s
moddey	m aː ð ə
moir	m ɒː ɹ
mwannal	m o n a l
oie	ei
oie	iː
ooh	au
ooh	uː
paitçhey	p æ tʃ ə
raad	r æː d̪
raad	r aː d̪
rass	r aː s
rollage	r o l æː ɡ
roost	r uː s
skian	s k iːə n
slieau	s lʲ uː
slieau	ʃ lʲ uː
sniaghtey	ʃ nʲ a x t̪ ə
sollan	s o l a n
sooill	s uː lʲ
stroin	s t̪ r u ᵈnʲ
stroin	s t̪ r ai ᵈnʲ
tedd	t̪ e d̪
thalloo	t a l u
ushag	o ʒ a ɡ
ushtey	u ʃ tʲ ə
yngyn	i ŋ ə n
