Bhí	ˈvʲiː
Aindrias	ˈanʲdʲɾʲiəsˠ
an	ˈəɴˠ
Ime	ˈimʲə
ina	ˈiɴˠə
chónaí	ˈxoɴˠiː
i	ˈi
mBaile	ˈmˠalʲə
uí	ˈiː
Mún	ˈmˠuːɴˠ
i	ˈi
nGleann	ˈŋlʲaɴˠ
an	ˈəɴˠ
Bhaile	ˈwalʲə
Dhuibh	ˈɣuvʲ
Ba	ˈbˠə
leis	ˈlʲiʃ
Baile	ˈbˠalʲə
uí	ˈiː
Mún	ˈmˠuːɴˠ
áit	ˈaːtʲ
fiche	ˈfʲiçə
bó	ˈbˠoː
agus	ˈagˠəsˠ
tarbh	ˈtˠaɾˠau
leofa	ˈʟʲoːfˠə		leo
Ghlac	ˈɣʟˠakˠ
an	ˈəɴˠ
Seónstanach	ˈʃoːɴˠsˠtˠəɴˠəh
Mór	ˈmˠoːɾˠ
é	ˈeː
ar	ˈeɾʲ	air
scór	ˈsˠkˠoːɾˠ
ceithre	ˈceɾʲə
chnoc	ˈxɾˠokˠ
dhéag	ˈɣeːgˠ
ime	ˈimʲə
do	ˈdˠə
dheánadh	ˈjaːɴˠuː		rinneadh
ar	ˈeɾʲ	air
fhichid	ˈiçədʲ
bó	ˈbˠoː
an	ˈəɴˠ
tSeónstanaigh	ˈtʲoːɴˠsˠtˠəɴˠiː
Seachtain	ˈʃaɾˠtˠənʲ
roimh	ˈɾˠivʲ
Shamhain	ˈhanʲ
chuaigh	ˈxuaj
an	ˈəɴˠ
Seónstanach	ˈʃoːɴˠsˠtˠəɴˠəh
siar	ˈʃiaɾˠ
agus	ˈagˠəsˠ
seacht	ˈʃaxtˠ
ngearráin	ˈɲaɾˠaːnʲ
agus	ˈagˠəsˠ
péire	ˈpʲeːɾʲə
cliabh	ˈclʲiaw
ar	ˈeɾʲ	air
